# Logfile created on 2025-11-25 18:16:56 +0100 by logger.rb/v1.5.3
2025-11-25 18:16:56 +0100: Memory Usage (459412K) : metal4_iprobe has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (459412K) : metal4_diffprb has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (459412K) : heattrans_drw has 13 polygons
2025-11-25 18:16:56 +0100: Memory Usage (459676K) : heatres_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (459676K) : pempoly_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (459676K) : fbe_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (459676K) : empoly_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (459676K) : ldmos_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (459676K) : pbiwind_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (459940K) : digisub_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (459940K) : nodrc_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (459940K) : text_drw has 13 polygons
2025-11-25 18:16:56 +0100: Memory Usage (459940K) : via4_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (459940K) : metal5_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (460204K) : metal5_pin has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (460204K) : metal5_mask has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (460204K) : metal5_filler has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (460204K) : metal5_nofill has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (460204K) : metal5_slit has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (460204K) : metal5_text has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (460468K) : metal5_opc has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (460468K) : metal5_noqrc has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (460468K) : metal5_res has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (460468K) : metal5_iprobe has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (460468K) : metal5_diffprb has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (460468K) : radhard_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (460732K) : memcap_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (460732K) : varicap_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (460732K) : flash_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (460732K) : intbondvia_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (460732K) : intbondmet_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (460996K) : devbondvia_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (460996K) : devbondmet_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (460996K) : devtrench_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (460996K) : redist_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (460996K) : graphbot_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (460996K) : graphtop_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (461260K) : antvia1_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (461260K) : antmetal2_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (461260K) : graphcont_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (461260K) : siwg_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (461260K) : siwg_filler has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (461260K) : siwg_nofill has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (461260K) : sigrating_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (461524K) : singrating_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (461524K) : graphpas_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (461524K) : emwind3_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (461524K) : emwihv3_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (461524K) : redbulay_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (461524K) : smos_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (461788K) : graphpad_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (461788K) : polimide_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (461788K) : polimide_pin has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (461788K) : recog_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (461788K) : recog_pin has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (461788K) : recog_esd has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (462052K) : recog_diode has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (462052K) : recog_tsv has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (462052K) : recog_iprobe has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (462052K) : recog_diffprb has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (462052K) : recog_pillar has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (462052K) : recog_sbump has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (462316K) : recog_otp has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (462316K) : recog_pdiode has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (462396K) : recog_mom has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (462396K) : recog_pcm has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (462396K) : colopen_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (462396K) : graphmetal1_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (462656K) : graphmetal1_filler has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (462656K) : graphmetal1_nofill has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (462656K) : graphmetal1_slit has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (462656K) : graphmetal1_opc has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (462656K) : graphmet1l_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (462656K) : graphmet1l_filler has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (462920K) : graphmet1l_nofill has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (462920K) : graphmet1l_slit has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (462920K) : graphmet1l_opc has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (462920K) : extblock_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (462920K) : nldd_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (463184K) : pldd_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (463184K) : next_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (463184K) : pext_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (463184K) : nexthv_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (463184K) : pexthv_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (463184K) : graphgate_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (463448K) : sinwg_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (463448K) : sinwg_filler has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (463448K) : sinwg_nofill has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (463448K) : mempad_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (463448K) : topvia1_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (463448K) : topmetal1_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (463712K) : topmetal1_pin has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (463712K) : topmetal1_mask has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (463712K) : topmetal1_filler has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (463712K) : topmetal1_nofill has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (463712K) : topmetal1_slit has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (463976K) : topmetal1_text has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (463976K) : topmetal1_noqrc has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (463976K) : topmetal1_res has 0 polygons
