# Logfile created on 2025-10-25 17:21:07 +0200 by logger.rb/v1.5.3
2025-10-25 17:21:08 +0200: Memory Usage (463488K) : polimide_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (463752K) : polimide_pin has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (463752K) : recog_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (463752K) : recog_pin has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (463752K) : recog_esd has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (463752K) : recog_diode has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (463752K) : recog_tsv has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (464016K) : recog_iprobe has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (464016K) : recog_diffprb has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (464016K) : recog_pillar has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (464016K) : recog_sbump has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (464016K) : recog_otp has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (464280K) : recog_pdiode has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (464308K) : recog_mom has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (464308K) : recog_pcm has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (464308K) : colopen_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (464308K) : graphmetal1_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (464568K) : graphmetal1_filler has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (464568K) : graphmetal1_nofill has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (464568K) : graphmetal1_slit has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (464568K) : graphmetal1_opc has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (464568K) : graphmet1l_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (464568K) : graphmet1l_filler has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (464832K) : graphmet1l_nofill has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (464832K) : graphmet1l_slit has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (464832K) : graphmet1l_opc has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (464832K) : extblock_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (464832K) : nldd_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (465096K) : pldd_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (465096K) : next_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (465096K) : pext_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (465096K) : nexthv_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (465096K) : pexthv_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (465096K) : graphgate_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (465360K) : sinwg_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (465360K) : sinwg_filler has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (465360K) : sinwg_nofill has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (465360K) : mempad_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (465360K) : topvia1_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (465624K) : topmetal1_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (465624K) : topmetal1_pin has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (465624K) : topmetal1_mask has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (465624K) : topmetal1_filler has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (465624K) : topmetal1_nofill has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (465624K) : topmetal1_slit has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (465888K) : topmetal1_text has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (465888K) : topmetal1_noqrc has 0 polygons
